titulo,operacion,sector_buscado,precio_texto,precio_num,moneda,habitaciones,banos,metros_m2,amueblado,ubicacion,url
Alquiler en Res. Martina Caribean ll,alquiler,todos,"RD$ 34,000",34000.0,DOP,3.0,3,,sí,"Distrito Nacional, Santo Domingo.null, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-en-res-martina-caribean-ll-9seqss1
ALQUILER DE APARTAMENTO TERCER NIVEL,alquiler,todos,"RD$ 10,000",10000.0,DOP,,2,,sí,"Santo Domingo Este, Santo Domingo.Las Américas, Santo Domingo Este",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquiler-de-apartamento-sa3ek6n
Apartamento nuevo en Evaristo Morales,alquiler,todos,"US$ 1,800",1800.0,USD,3.0,3,,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-nuevo-en-evaristo-morales-jf4pyvw
5 apartamento disponibles en 4 niveles incluido el zotano.Ver descripción.,alquiler,todos,"RD$ 18,000",18000.0,DOP,3.0,3,,sí,"Santo Domingo Norte, Santo Domingo.Villa Mella, Santo Domingo Norte",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/5-apartamento-disponibles-en-4-niveles-incluido-el-zotano-ver-descripcion-c5gan6e
Apartamento amueblado en el Mirador Norte,alquiler,todos,"US$ 1,650",1650.0,USD,,3,,sí,"Distrito Nacional, Santo Domingo.Mirador Norte, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-amueblado-en-el-mirador-norte-jqmbhn6
APTAMENTO EN ALQUILER ENTRE AMERICA Y ECOLOGICA,alquiler,todos,"RD$ 21,000",21000.0,DOP,3.0,3,,sí,"location_onSanto Domingo Este, Santo Domingo.Las Américas, Santo Domingo Esteapartmentapartamentos",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/aptamento-en-alquiler-en-brisa-oriental-vi-zjvm7gy
"Alquilo Apto Amueblado Torre RR5 USD$1,000.00",alquiler,todos,"US$ 1,000",1000.0,USD,1.0,1,,sí,"Distrito Nacional, Santo Domingo.Evaristo Morales, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-apto-amueblado-torre-rr5-usd-1-000-00-ft9mq2q
Apartamento en Venta y Renta en 4to Nivel Altos de Arroyo Hondo,alquiler,todos,"RD$ 36,000",36000.0,DOP,3.0,3,115.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-venta-y-renta-en-4to-nivel-altos-de-arroyo-hondo-jtm0bh4
Alquilo Apartamento de 3 Hab. en Ciudad Real II,alquiler,todos,"RD$ 25,000",25000.0,DOP,3.0,3,,sí,"Distrito Nacional, Santo Domingo.Ciudad Real II, Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/alquilo-apartamento-de-3-hab-en-ciudad-real-ii-ey1kxh3
Apartamento en EVARISTO MORALES,alquiler,todos,"US$ 1,400",1400.0,USD,1.0,1,250.0,sí,"Distrito Nacional, Santo Domingo.Distrito Nacional",https://www.corotos.com.do/anuncio/inmuebles-en-alquiler/apartamentos/apartamento-en-evaristo-morales-acs8ky8
